Individual,Species,MigStatus,Site,PercentAg,AgCategory,Buffered,Percent_Total_Veg,SPEI,Event,Julian,DaysIntoSeason,Sunrise,Time,Sex,Age,Wing,Culmen,Head,NareTip,DiagTarsus,Fat,Mass,PecScore,PecSizeBig,PecSizeSmall,PecSizeBest,PecSize25,OverallNeonic,Flonicamid,Clothianidin,Thiamethoxam,Imidacloprid,Thiacloprid,Uric,Tri,Beta,Lipemia,Hemolysis,Yellow,Biomass,Diversity,Permanence,DominantCrop,DominantLandUse,NearestCropDistance_m,NearestCropType,Dist_Closest_Wetland_m,MaxBufferWidth_m,PercentBufferAroundWetland,Percent_Exposed_Shoreline,Max_Flock_Size,WaterNeonicDetection,InvertPesticideDetection,PlasmaDetection,AnyDetection,WaterOrInvertDetection
109471921,Willet,Resident,Sewage,60.1335428,Moderate,N,2,-1.51,Fall 2021,196,2,6:00,16:20,F,NA,217,61.8,99.9,45.4,74,0,319.6,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,41,Soybean,46,30,30,70,126,Y,NA,N,Y,Y
123200535,Killdeer,Resident,Sewage,60.1335428,Moderate,N,2,-1.51,Fall 2021,196,2,6:00,12:45,NA,NA,164,19.8,49.5,12.2,39.2,0,88.4,NA,NA,NA,NA,NA,1.71875,0,0,1.71875,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,41,Soybean,46,30,30,70,126,Y,NA,Y,Y,Y
109471919,Willet,Resident,Sewage,60.1335428,Moderate,N,2,-1.51,Fall 2021,197,3,6:01,14:09,F,NA,211,60.8,98.5,46,64.2,4,372.9,NA,NA,NA,NA,NA,0.475,0,0,0.475,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,41,Soybean,46,30,30,70,38,Y,NA,Y,Y,Y
109471920,Willet,Resident,Sewage,60.1335428,Moderate,N,2,-1.51,Fall 2021,197,3,6:01,13:54,M,NA,215,61.5,98.9,44.6,64.8,2,335.1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,41,Soybean,46,30,30,70,38,Y,NA,N,Y,Y
123200533,Lesser Yellowlegs,Migratory,Sewage,60.1335428,Moderate,N,2,-1.51,Fall 2021,197,3,6:01,12:16,F,Adult,160,34.9,64.8,28,48.9,3,113.5,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,41,Soybean,46,30,30,70,38,Y,NA,N,Y,Y
123200534,Lesser Yellowlegs,Migratory,Sewage,60.1335428,Moderate,N,2,-1.51,Fall 2021,197,3,6:01,10:42,M,Adult,156,35.7,66.7,28.9,51.9,3,94.6,NA,NA,NA,NA,NA,0.275,0,0,0.275,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,41,Soybean,46,30,30,70,38,Y,NA,Y,Y,Y
258116700,Semipalmated Sandpiper,Migratory,Sewage,60.1335428,Moderate,N,2,-1.51,Fall 2021,197,3,6:01,14:25,F,NA,99,19.5,39.6,16.2,22.6,0,21.1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,41,Soybean,46,30,30,70,38,Y,NA,N,Y,Y
123200527,Lesser Yellowlegs,Migratory,Pelican,78.0235988,High,N,1,-1.51,Fall 2021,198,4,6:03,12:40,F,Adult,160,36.4,63.4,28.5,52,1,108.8,NA,NA,NA,NA,NA,0.25,0,0,0.25,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,18,Soybean,27,30,90,100,53,Y,NA,Y,Y,Y
123200528,Pectoral Sandpiper,Migratory,Pelican,78.0235988,High,N,1,-1.51,Fall 2021,198,4,6:03,11:30,M,NA,143,30.7,56.7,25.7,29.1,0,84.2,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,18,Soybean,27,30,90,100,53,Y,NA,N,Y,Y
123200529,Killdeer,Resident,Pelican,78.0235988,High,N,1,-1.51,Fall 2021,198,4,6:03,10:43,M,NA,162,19.5,48.8,12.3,37.9,0,85.4,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,18,Soybean,27,30,90,100,53,Y,NA,N,Y,Y
123200530,Lesser Yellowlegs,Migratory,Pelican,78.0235988,High,N,1,-1.51,Fall 2021,198,4,6:03,9:58,F,Adult,156,35,64.5,27.7,50,0,78.3,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,18,Soybean,27,30,90,100,53,Y,NA,N,Y,Y
123200531,Lesser Yellowlegs,Migratory,Pelican,78.0235988,High,N,1,-1.51,Fall 2021,198,4,6:03,8:50,F,Adult,156,34,64.7,27.6,52.6,0,92.5,NA,NA,NA,NA,NA,0.6875,0,0,0.6875,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,18,Soybean,27,30,90,100,53,Y,NA,Y,Y,Y
123200532,Killdeer,Resident,Pelican,78.0235988,High,N,1,-1.51,Fall 2021,198,4,6:03,8:05,M,NA,168,20.2,51.5,13.2,39.1,0,120,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Soybean,Agriculture,18,Soybean,27,30,90,100,53,Y,NA,N,Y,Y
123200524,Lesser Yellowlegs,Migratory,Buffalo,3.7494067,Low,Y,1,-1.56,Fall 2021,199,5,6:01,11:25,M,Adult,158,34,64,26.5,47.1,0,86.1,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Grassland,Grassland,1830,Alfalfa,192,120,100,100,81,N,NA,N,N,N
123200525,Lesser Yellowlegs,Migratory,Buffalo,3.7494067,Low,Y,1,-1.56,Fall 2021,199,5,6:01,10:33,F,Adult,157,37.4,68.5,30.6,52.5,0,85.2,NA,NA,NA,NA,NA,0,0,0,0,0,0,991,1.04,0.56,None,Slight,OnePlus,NA,NA,Permanent,Grassland,Grassland,1830,Alfalfa,192,120,100,100,81,N,NA,N,N,N
123200526,Lesser Yellowlegs,Migratory,Buffalo,3.7494067,Low,Y,1,-1.56,Fall 2021,199,5,6:01,9:45,M,Adult,152,32.8,63.4,26.4,49.6,1,101.3,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Grassland,Grassland,1830,Alfalfa,192,120,100,100,81,N,NA,N,N,N
123200521,Lesser Yellowlegs,Migratory,Church,52.681628,Moderate,N,10,-1.75,Fall 2021,200,7,5:57,10:41,F,Adult,158,35.3,66.1,29.3,53.4,2,115.5,NA,NA,NA,NA,NA,0.35,0,0,0.35,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Wheat,Agriculture,32,Wheat,325,0,0,100,66,N,NA,Y,Y,N
123200522,Lesser Yellowlegs,Migratory,Church,52.681628,Moderate,N,10,-1.75,Fall 2021,200,7,5:57,9:10,M,Adult,159,34.6,64.1,28.1,51.5,0,92.1,NA,NA,NA,NA,NA,0.8,0,0,0.8,0,0,NA,NA,NA,NA,NA,NA,NA,NA,Permanent,Wheat,Agriculture,32,Wheat,325,0,0,100,66,N,NA,Y,Y,N
